person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Cornel Barbu,cornelbarbu,cornelbarbu@141.ro,2400618179246,1951-12-10,"Intrarea Albertina Stan Nr. 53 Bl. 53  Sc. 63 Ap. 219, Siret, 217262",0743 709 299,92:b6:52:6f:b5:7a,46.64.125.209,RO82DVBP8711628222106471,2025-06-25 14:50:51,5660,783,514,1011833,cb0081a4-56a3-4a1e-a5e6-0580c626c154
Alma Aanei,almaaanei,almaaanei@email.ro,6870409276085,1911-10-27,"Bulevardul Luiza Toma, Sannicolau Mare, 447787",0240 143 350,60:f7:3a:8e:66:cb,59.43.233.70,RO30XPLE6412379009318657,2025-06-25 14:50:51,28661,209,268,952698,27a3e176-f988-4266-8544-d3cd1aad6ef0
Renata Manole,renatamanole,renatamanole@post.ro,2200424250447,1960-02-21,"Intrarea Ruxandra Stancu Nr. 464, Plosca, 513116",0755 082 712,60:ce:22:b4:81:27,17.220.241.83,RO08ZEWT7185054551189818,2025-06-25 14:50:51,8372,971,129,1254162,a08c5fcc-72f6-4f20-8e05-8d90aa36038f
Georgeta Ababei,georgetaababei,georgetaababei@gmail.com,3390626038231,1951-01-05,"Aleea Pop Nr. 680 Bl. 33  Sc. 49 Ap. 954, Greci, 569510",0242 994 374,66:31:0e:bd:14:f7,114.64.115.48,RO05OTXS0962206410150293,2025-06-25 14:50:51,3817,536,150,951358,f8973505-3555-46f6-845d-5c1e01708d3c
Horațiu Ardelean,horațiuardelean,horațiuardelean@141.ro,8761231138568,2020-06-04,"Drumul Stan Nr. 17 Bl. 61  Sc. 55 Ap. 178, Dorohoi, 349854",0756 489 583,1e:8e:1d:a9:fc:21,35.37.169.41,RO53MGHG7335270020268615,2025-06-25 14:50:51,21150,869,674,1284731,9289202e-e5bc-4f83-841a-ae4042e605d6
Georgian Nistor,georgiannistor,georgiannistor@zzup.ro,8020121099393,1945-08-28,"Soseaua Tomescu Nr. 30 Bl. 29  Sc. 13 Ap. 146, 1 Decembrie, 899308",0780 454 192,18:1b:e2:08:df:67,40.162.208.252,RO27OQEE7123129174178080,2025-06-25 14:50:51,1787,616,272,1375778,f22e1c28-8185-43d2-8955-e327fa6df038
Eufrosina Ardelean,eufrosinaardelean,eufrosinaardelean@gmail.com,5830715142015,1995-11-08,"Soseaua Popescu Nr. 146 Bl. 99  Sc. 89 Ap. 535, Talmaciu, 402689",0739 990 674,c6:97:40:fb:88:04,178.80.96.77,RO25LBRK6837990310603565,2025-06-25 14:50:51,19224,268,475,186229,8ceb4378-49fc-45bf-84b4-56453172deda
Margareta Stănescu,margaretastănescu,margaretastănescu@post.ro,8361222045815,1941-04-10,"Soseaua Dochioiu Nr. 45, Targu Neamt, 581555",0750 358 818,06:a6:66:64:ce:39,146.2.149.192,RO95DCKW6326843093019276,2025-06-25 14:50:51,11683,658,678,1227665,b19c63be-facd-4a0c-9c79-6b6e243ae597
Severina Toma,severinatoma,severinatoma@post.ro,6730820412173,2013-02-28,"Drumul Diaconu Nr. 58, Bragadiru, 198235",0255 559 975,d8:c4:f6:16:c3:70,175.139.177.3,RO80UAJV0135125902424657,2025-06-25 14:50:51,33181,797,24,769846,7221cbba-c76e-455e-96e5-b0a41718820a
Natalia Stănescu,nataliastănescu,nataliastănescu@gmail.com,6120809044290,1952-07-11,"Strada Petre Pop, Pogoanele, 448802",0711 048 834,28:b9:4b:b7:9c:1a,1.3.5.121,RO07YEZX3197851497520828,2025-06-25 14:50:51,26322,635,610,1735104,56f5f899-5a8d-49e5-b0e3-a4405625b24d
Alberta Marin,albertamarin,albertamarin@post.ro,1560620290465,1940-01-06,"Bulevardul Stan, Feldru, 981888",0264 663 578,88:d7:04:c4:9a:2e,205.185.91.163,RO31AGPD0559992033219421,2025-06-25 14:50:51,22599,645,623,1694652,63cf5dc1-7e97-44f8-8827-b8f8e01f7b68
Laurian Preda,laurianpreda,laurianpreda@kappa.ro,5880928448441,1997-12-20,"Soseaua Brândușa Tomescu Nr. 38 Bl. 71  Sc. 84 Ap. 154, Podu Iloaiei, 843146",0737 081 030,ea:d5:56:33:18:6e,157.37.194.37,RO20GRCM0041155739486876,2025-06-25 14:50:51,19501,549,54,1535388,f677f8b7-53ce-4622-b42e-ac1dacb111af
Despina Dumitrescu,despinadumitrescu,despinadumitrescu@141.ro,8020720426281,1959-10-13,"Drumul Dima Nr. 276, Huedin, 167126",0251 530 807,be:d8:2a:0e:60:a1,16.185.97.216,RO05KXHK0456053717571352,2025-06-25 14:50:51,3773,293,518,866939,621c7651-710e-434e-8a80-3d1e13a25f30
Viorela Preda,viorelapreda,viorelapreda@acasa.ro,4380626014022,1976-02-21,"Bulevardul Tomescu, Siret, 454209",0771 771 069,52:6f:78:bb:31:6b,173.130.99.51,RO38SAAQ9614528020282254,2025-06-25 14:50:51,28312,121,620,1868601,871e45db-1e4c-40d8-b8e7-a1776f1f86a4
Steluța Diaconu,steluțadiaconu,steluțadiaconu@kappa.ro,1571020388191,1950-04-25,"Soseaua Celia Popa Nr. 373, Tandarei, 700991",0232 965 321,b2:f6:b0:ae:82:c3,201.136.166.28,RO45WRGK3323637700875167,2025-06-25 14:50:51,7641,466,331,736248,965f1a38-694d-40c2-816f-25979368cbee
Gicu Pop,gicupop,gicupop@post.ro,8150807109538,1910-09-27,"Soseaua Eftimie Nr. 44 Bl. 32  Sc. 54 Ap. 383, Pipera (Voluntari), 525337",0757 320 919,38:f5:9e:3e:3d:68,152.202.157.21,RO19NCNY5871379419216470,2025-06-25 14:50:51,23546,819,451,1929422,a371d4df-e341-461c-8633-0cfa6978e815
Henrieta Aanei,henrietaaanei,henrietaaanei@gmail.com,2560526263797,1986-05-21,"Strada Ina Stănescu Nr. 864 Bl. 38  Sc. 73 Ap. 200, Buhusi, 198563",0241 261 004,a6:27:bb:16:da:9a,180.153.11.163,RO78ZRUQ8298594463205773,2025-06-25 14:50:51,4863,336,408,920394,e5005b69-e921-4c69-8f2f-ed4cb3e01104
Tudora Nemeș,tudoranemeș,tudoranemeș@zzup.ro,2920924419039,1963-10-27,"Soseaua Alis Nistor Nr. 30, Medgidia, 636526",0741 668 668,4a:4c:b2:8d:63:0e,69.234.2.255,RO78HMXE5029761323204396,2025-06-25 14:50:51,16490,781,153,1508020,0416df42-802b-4ad7-974b-8a7d1301bc42
Doina Ene,doinaene,doinaene@acasa.ro,7510301271359,1939-02-20,"Soseaua Georgescu Nr. 20, Buftea, 917859",0247 062 160,60:63:35:55:af:b2,43.170.79.6,RO85OKNL7793796942387027,2025-06-25 14:50:51,17925,683,135,1023543,1c6fd862-6f0d-4dc9-9221-abdcaa3db787
Dacian Florea,dacianflorea,dacianflorea@acasa.ro,8830918334951,1977-02-13,"Intrarea Aanei Nr. 789, Moisei, 212121",0733 478 495,00:e9:6f:a8:2f:82,206.163.114.36,RO20ADXU1362425502813873,2025-06-25 14:50:51,20320,552,321,1697928,91cdc05e-3c63-40e4-bd06-1cbb9d6de38c
Dimitrina Suciu,dimitrinasuciu,dimitrinasuciu@141.ro,6640930284540,1916-07-11,"Bulevardul Amelia Pop Nr. 33, Targu Mures, 863162",0722 112 134,68:7a:60:a2:c4:c2,184.195.249.142,RO63MYDK9097500658917958,2025-06-25 14:50:51,20774,555,651,1842914,2adfda78-4cf4-4816-8eea-92bc6566e9ca
Lucențiu Barbu,lucențiubarbu,lucențiubarbu@post.ro,8830706424790,1969-12-19,"Aleea Dinu Nr. 893, Jilava, 777992",0257 862 330,c2:ef:ab:72:de:73,184.181.124.200,RO50PZJN7317127765416172,2025-06-25 14:50:51,16369,531,347,906986,4b190bfb-5dce-4238-bae9-8942b91bb047
Ivona Dima,ivonadima,ivonadima@gmail.com,7761104363857,1990-01-31,"Intrarea Dobre Nr. 783, Vicovu de Sus, 956047",0251 496 832,10:fe:2d:86:03:c3,117.202.9.16,RO49XSGU7791344278458836,2025-06-25 14:50:51,32348,180,565,1893475,321033d2-36e5-4da1-aba5-4a488c8707f5
Mirona Florea,mironaflorea,mironaflorea@gmail.com,1991007033491,2003-02-28,"Intrarea Oprea, Valea Caselor (Dragasani), 514252",0786 365 721,18:d1:3c:3a:84:83,169.208.61.209,RO74DEQO0711892962271502,2025-06-25 14:50:51,28935,650,624,483771,b5d56e45-855f-4295-91de-98aaf1346eae
Geta Ardelean,getaardelean,getaardelean@acasa.ro,1310914125154,1930-03-20,"Aleea Adina Tomescu Nr. 82 Bl. 21  Sc. 21 Ap. 527, Darmanesti, 825897",0765 795 215,16:7c:74:b9:5e:d4,206.44.97.185,RO89AGDA4757111879425213,2025-06-25 14:50:51,29377,59,640,1103349,582a9adc-21e6-4d14-b2da-71e98e3dd66a
Alina Ene,alinaene,alinaene@zzup.ro,4831126077316,1939-07-16,"Bulevardul Ardelean Nr. 44 Bl. 70  Sc. 44 Ap. 607, Baia Mare, 150111",0720 824 221,7a:74:8c:5c:94:ea,116.39.201.142,RO79XBAX7228474226092848,2025-06-25 14:50:51,15158,212,74,1195959,fa8af5f1-7779-48f3-9e8e-7954d4aa0911
Lazăr Cristea,lazărcristea,lazărcristea@zzup.ro,1441014423091,2021-06-22,"Aleea Marin Nr. 46 Bl. 70  Sc. 21 Ap. 478, Borsa, 266745",0761 059 612,aa:8c:a4:c0:ed:32,36.154.176.193,RO95YZEU4000365177810427,2025-06-25 14:50:51,30000,616,671,882950,a9e1d287-2bfd-4494-8681-8fc065c1cb85
Tincuța Dinu,tincuțadinu,tincuțadinu@kappa.ro,3841105012463,2021-10-28,"Aleea Florea Nr. 373 Bl. 55  Sc. 25 Ap. 431, Berceni, 742141",0258 657 908,ce:76:f5:b0:02:0d,207.38.105.239,RO98LYMB2155208527017257,2025-06-25 14:50:51,31572,20,522,1728819,ed4b8336-fa00-4358-ae13-596a0f98a6a2
Alexandra Dochioiu,alexandradochioiu,alexandradochioiu@post.ro,2631220331484,1909-08-19,"Drumul Olimpiu Voinea Nr. 83 Bl. 76  Sc. 40 Ap. 989, Ineu, 228041",0721 361 076,ae:ab:0c:0d:3c:2d,45.101.233.190,RO16UCIS1624144687752504,2025-06-25 14:50:51,7990,355,590,189853,7fc9c538-be41-4c67-b06a-efc07dcc6484
Daria Eftimie,dariaeftimie,dariaeftimie@zzup.ro,7741006057242,2017-04-10,"Aleea Aurora Dinu Nr. 77, Fagaras, 176430",0741 541 982,1e:f7:e3:32:45:70,188.34.216.137,RO36SPTX0310027622842341,2025-06-25 14:50:51,2397,886,529,1886565,c40327bc-d95d-473b-92fd-0b8674059869
Aurora Diaconu,auroradiaconu,auroradiaconu@kappa.ro,3800707364171,2010-08-24,"Bulevardul Evanghelina Dochioiu, Fundulea, 309577",0754 050 262,fa:05:cd:dd:1c:ac,217.10.207.150,RO45EQQH7194010361486673,2025-06-25 14:50:51,10402,799,784,715276,42ff850d-f0c4-46d2-bb11-c57b29778b9a
Diana Gheorghiu,dianagheorghiu,dianagheorghiu@acasa.ro,3510413215122,1984-11-11,"Strada Aanei Nr. 276 Bl. 45  Sc. 19 Ap. 921, Carei, 781782",0766 460 885,b2:e2:59:7b:1e:3f,188.42.48.255,RO26QJPC8365816712113319,2025-06-25 14:50:51,11391,766,317,206308,594400f4-7c3a-4d2a-ad9f-236c828e675d
Dan Tabacu,dantabacu,dantabacu@kappa.ro,8750312184811,1990-04-30,"Aleea Eftimie Nr. 83 Bl. 95  Sc. 81 Ap. 458, Pecica, 836994",0788 239 126,c2:26:4d:86:3a:24,117.137.199.79,RO84VCTQ1688650279483186,2025-06-25 14:50:51,8158,612,781,1061906,89debaaf-9494-470e-91af-087b6d6a52ef
Alin Albu,alinalbu,alinalbu@post.ro,3770113077404,2006-08-13,"Soseaua Dobre, Bragadiru, 956581",0728 350 409,ac:ee:49:b6:1a:6d,122.102.147.126,RO25CRZP1496705686438478,2025-06-25 14:50:51,29648,119,116,1292484,033b8b84-827f-42da-8b05-56db6204b361
Mioara Dobre,mioaradobre,mioaradobre@acasa.ro,8600707276455,1987-02-22,"Aleea Brăduț Pușcașu Nr. 37, Urziceni, 647916",0262 069 154,0c:ba:ba:84:e5:1d,90.151.102.237,RO79IVCF9340720512050070,2025-06-25 14:50:51,17650,484,247,345523,b0d5216f-bdb0-47e1-b847-b3a3bd52af9d
Iridenta Tabacu,iridentatabacu,iridentatabacu@acasa.ro,6241204121912,2015-02-18,"Intrarea Arina Ardelean Nr. 610, Drobeta-Turnu Severin, 272447",0749 892 155,96:f3:34:6e:1a:a5,22.34.144.5,RO26ZCTB5124844965506392,2025-06-25 14:50:51,15304,563,337,911065,195dce78-8c20-4f13-97a7-278baf05a91a
Crin Marin,crinmarin,crinmarin@gmail.com,1280109278476,1956-12-13,"Bulevardul Emilian Oprea Nr. 963, Roseti, 477548",0756 646 084,f2:df:6c:f2:47:78,202.50.230.230,RO90ZGEG8338920981401330,2025-06-25 14:50:51,7854,576,601,1776002,734e84c8-f65b-4755-98cd-c70c8cee9efd
Iolanda Ioniță,iolandaioniță,iolandaioniță@kappa.ro,7321020407474,2021-03-06,"Strada Marin, Matca, 889914",0780 212 967,58:b7:c7:ab:57:d0,221.81.166.173,RO05JJRZ6738830804225093,2025-06-25 14:50:51,30555,972,74,1495637,cccb4559-78c0-4801-9858-4674b54254dc
Ancuța Florea,ancuțaflorea,ancuțaflorea@acasa.ro,8360803081481,1918-01-27,"Drumul Horațiu Preda Nr. 72, Bumbesti-Jiu, 475293",0749 669 654,82:06:69:6d:fd:56,28.29.254.101,RO83ERAD9252622659729381,2025-06-25 14:50:51,27189,166,534,757295,103991ee-4eb9-46c9-8bc5-dcd0476d3897
Teona Preda,teonapreda,teonapreda@gmail.com,6721011182526,1936-06-20,"Intrarea Marin Nr. 71, Ploiesti, 123157",0756 506 374,54:8f:48:18:1a:c6,28.41.32.252,RO90RCER4586663385040203,2025-06-25 14:50:51,14603,640,246,1068539,ab5be3e2-6740-43a1-8a00-04aa422a631c
Zina Georgescu,zinageorgescu,zinageorgescu@acasa.ro,6410128528791,1963-07-05,"Intrarea Nistor Nr. 78, Zalau, 313364",0744 808 555,c0:7d:e7:b9:49:ce,213.161.33.185,RO60IFXG3888263442793734,2025-06-25 14:50:51,1008,955,485,633776,f77a3ad2-c49b-4240-94bc-5adbbe0201b2
Steliana Barbu,stelianabarbu,stelianabarbu@post.ro,2160311336355,1915-11-17,"Drumul Preda Nr. 94, Alexandria, 341431",0756 627 591,d2:1d:68:2b:4b:59,70.64.130.93,RO93RDJW8411434905745081,2025-06-25 14:50:51,13536,691,698,1502386,70650adb-ebae-4c4e-9ae2-270bfe106352
Dora Tabacu,doratabacu,doratabacu@email.ro,1610909308733,1957-08-27,"Bulevardul Larisa Suciu Nr. 15 Bl. 41  Sc. 83 Ap. 650, Schela Cladovei, 797880",0729 160 233,74:92:dd:91:88:47,198.41.234.135,RO45DCLP2735916965714432,2025-06-25 14:50:51,849,148,720,1829559,c6f1fd0d-77a9-4f69-ab34-dbcb75e38935
Sava Voinea,savavoinea,savavoinea@email.ro,7281201376462,1920-01-25,"Bulevardul Mitruț Dumitrescu, Petrila, 176998",021 451 2500,c8:07:6e:0a:89:84,70.100.208.49,RO46JJQU4841246608336216,2025-06-25 14:50:51,30476,229,799,663463,895d51d6-f0fa-475a-bb16-2a428cac1d44
Cătălina Dobre,cătălinadobre,cătălinadobre@post.ro,6530320047669,1980-11-06,"Aleea Preda Nr. 54 Bl. 68  Sc. 20 Ap. 366, Tarnaveni, 516008",0745 286 478,d8:72:95:11:f5:86,191.118.189.140,RO18XGUD8576424656968465,2025-06-25 14:50:51,2284,679,194,1980583,f775985a-af5e-41b3-adf1-163e70063e6f
Ducu Marin,ducumarin,ducumarin@zzup.ro,8120628053469,1988-08-10,"Intrarea Diaconescu Nr. 329, Calarasi, 705519",0780 667 750,16:2d:dc:bf:19:e1,70.8.97.184,RO76LRAP4194746128978708,2025-06-25 14:50:51,25760,345,709,613043,d05ba19a-b827-4180-a33b-2ae622ee30eb
Octaviu Diaconu,octaviudiaconu,octaviudiaconu@acasa.ro,3950827015237,1987-12-29,"Aleea Georgescu Nr. 477 Bl. 43  Sc. 13 Ap. 612, Pascani, 515962",0766 276 899,f4:e7:7c:4f:97:bd,90.60.123.147,RO44SWQV3423154295888818,2025-06-25 14:50:51,5576,667,609,1045062,b32a6bcb-c5a7-4d84-9414-c82bad898d0a
Rozalia Tabacu,rozaliatabacu,rozaliatabacu@gmail.com,2160523105115,1986-10-28,"Strada Aurel Popescu, Vatra Dornei, 608044",0240 272 412,e6:ba:c1:ba:e8:80,112.122.80.46,RO13TKNU3181802499065360,2025-06-25 14:50:51,22694,163,530,1075392,fecef6de-be21-4d9d-b58d-cd9ff593e352
Iancu Albu,iancualbu,iancualbu@email.ro,8330423068246,1950-10-14,"Bulevardul Dobre, Reghin, 702764",0244 341 011,0e:78:07:d6:27:ff,217.182.68.192,RO17SEVI6078399135889049,2025-06-25 14:50:51,14444,961,451,1010445,a2d1dab4-6ac9-49c0-8c0a-4d2d8fb20dac
Iris Gheorghiu,irisgheorghiu,irisgheorghiu@kappa.ro,6010211211265,1941-01-06,"Bulevardul Dima, Techirghiol, 491569",0268 873 220,d6:41:02:1b:c0:02,9.77.177.196,RO60BKLS4098136332440874,2025-06-25 14:50:51,13432,555,282,158124,01f0b905-03eb-4698-8b3f-2baa73377847
Liviu Mocanu,liviumocanu,liviumocanu@kappa.ro,6980128159606,1928-07-27,"Strada Traian Ionescu Nr. 469 Bl. 93  Sc. 62 Ap. 291, Fundeni, 585040",0248 554 966,7e:e2:d9:c6:79:69,97.201.130.57,RO28BLJX7082663805849370,2025-06-25 14:50:51,19608,149,534,1316551,d8740dae-5cdb-4f04-8763-0695525b4ce5
Iulian Pop,iulianpop,iulianpop@141.ro,7830527401631,1910-08-01,"Drumul Stancu Nr. 771, Hunedoara, 381896",0765 906 230,ba:11:c0:f4:92:2d,168.221.246.31,RO76PWWM5819684610144787,2025-06-25 14:50:51,16284,827,796,1122463,eb482a17-15d1-4c80-a283-f5391ec60e13
Agripina Stănescu,agripinastănescu,agripinastănescu@post.ro,1861216053012,1954-05-03,"Bulevardul Stoica, Strehaia, 969348",0785 510 704,b8:0d:32:be:32:42,216.28.245.172,RO25KZJR9753023037095179,2025-06-25 14:50:51,4649,794,490,153281,a7d38c86-d8ee-4428-84fe-33529ebb13fe
Cornel Barbu,cornelbarbu,cornelbarbu@kappa.ro,3480625098628,2010-11-22,"Soseaua Mocanu Nr. 585 Bl. 86  Sc. 26 Ap. 236, Hateg, 195068",0236 173 987,a8:dd:be:4a:85:ef,6.241.152.219,RO90HKAG7561306515258715,2025-06-25 14:50:51,24252,22,240,399745,1b0882c4-730a-4308-a00c-d8d1920cc544
Anghel Tabacu,angheltabacu,angheltabacu@acasa.ro,3110309145391,1926-05-16,"Soseaua Marcheta Mocanu, Vicovu de Jos, 954990",0734 846 556,bc:e3:25:01:bf:32,184.210.61.6,RO88VCJG0032917882993503,2025-06-25 14:50:51,18963,700,110,787939,0f2e330e-b87e-4ebe-8d38-86354b2c472e
Petru Stancu,petrustancu,petrustancu@kappa.ro,5590520240539,1918-05-29,"Soseaua Irinel Dochioiu Nr. 50 Bl. 67  Sc. 29 Ap. 194, Berceni, 727881",0265 130 594,7e:b9:79:89:41:a8,13.37.170.172,RO31CVSA2925424557288971,2025-06-25 14:50:51,21825,1,661,1763749,f9b14869-db76-4ba0-87e5-b57d7b36f071
Pavel Manole,pavelmanole,pavelmanole@zzup.ro,3041227210783,1967-02-08,"Soseaua Stancu Nr. 739, Sandominic, 337502",0768 474 215,3c:67:b9:5b:db:83,117.220.244.129,RO91IQHV8138129946237150,2025-06-25 14:50:51,26823,47,623,1339117,ca0b8929-dfc5-4a0e-9470-2490faef31f6
Severina Georgescu,severinageorgescu,severinageorgescu@acasa.ro,8960620402786,1926-10-13,"Aleea Eftimie Nr. 11 Bl. 28  Sc. 96 Ap. 465, Hateg, 203668",0728 894 881,ba:fc:e9:c8:e8:e7,101.2.206.109,RO79QREM1756942864139225,2025-06-25 14:50:51,14513,666,484,201521,730d8df2-7094-49df-9641-4c051cdc18b3
